gameid,date,patch,gamelength,blue_team,red_team,blue_win,blue_champ1,blue_champ2,blue_champ3,blue_champ4,blue_champ5,red_champ1,red_champ2,red_champ3,red_champ4,red_champ5,blue_kills,red_kills,blue_gold,red_gold,blue_dragons,red_dragons,blue_barons,red_barons,blue_towers,red_towers,blue_ban1,red_ban1,blue_ban2,red_ban2,blue_ban3,red_ban3,blue_ban4,red_ban4,blue_ban5,red_ban5,blue_top,red_top,blue_jng,red_jng,blue_mid,red_mid,blue_bot,red_bot,blue_sup,red_sup
2024 LoL KeSPA Cup_Round 4_1_1,2024-12-05 12:07:00,14.23,29.933333333333,Chinese Taipei (National Team),Hanwha Life Esports,0,Kennen,Sejuani,Corki,Varus,Neeko,Rumble,Viego,Azir,Caitlyn,Braum,13,27,52224,64308,0,4,0,1,3,10,Yone,Skarner,Sylas,Ambessa,Aurora,Ashe,Kalista,Jax,Jhin,K'Sante,Azhi,Rooster,Karsa,Grizzly,Maple (Huang Yi-Tang),Zeka (Kim Geon-woo),Betty,Viper (Park Do-hyeon),Woody,Delight
2024 LoL KeSPA Cup_Round 3_2_1,2024-12-05 10:51:00,14.23,30.966666666667,Dplus KIA,Chinese Taipei (National Team),1,K'Sante,Viego,Azir,Ashe,Braum,Gnar,Nocturne,Aurora,Miss Fortune,Bard,15,13,62703,52681,1,4,1,0,8,3,Ambessa,Skarner,Sejuani,Corki,Varus,Vi,Rakan,Kindred,Rell,LeBlanc,Siwoo,Azhi,Lucid (Choi Yong-hyeok),Karsa,ShowMaker,Maple (Huang Yi-Tang),Aiming,Betty,BeryL,Woody
2024 LoL KeSPA Cup_Round 3_1_1,2024-12-05 09:36:00,14.23,32.75,KT Rolster,Hanwha Life Esports,0,K'Sante,Maokai,Azir,Varus,Poppy,Gnar,Viego,Taliyah,Kai'Sa,Leona,13,24,53635,67452,2,2,0,1,2,10,Yone,Skarner,Sylas,Ambessa,Corki,Aurora,Ashe,Sejuani,Ezreal,Xin Zhao,Casting,Rooster,YoungJae,Grizzly,Zinie,Zeka (Kim Geon-woo),Paduck,Viper (Park Do-hyeon),Peter (Jeong Yoon-su),Delight
2024 LoL KeSPA Cup_Round 2_3_1,2024-12-05 08:23:00,14.23,40.6,Chinese Taipei (National Team),KT Rolster,1,Ambessa,Sejuani,Yone,Ashe,Seraphine,Renekton,Viego,Vex,Varus,Alistar,24,25,78841,73421,1,4,1,1,11,5,Azir,Skarner,Neeko,Poppy,Corki,Aurora,Nautilus,Renata Glasc,Ahri,Sylas,Azhi,Casting,Karsa,YoungJae,Maple (Huang Yi-Tang),Zinie,Betty,Paduck,Woody,Peter (Jeong Yoon-su)
2024 LoL KeSPA Cup_Round 2_2_1,2024-12-05 07:06:00,14.23,35.116666666667,Hanwha Life Esports,Nongshim RedForce,1,Ambessa,Sejuani,Sylas,Jinx,Nautilus,Maokai,Poppy,Azir,Varus,Braum,16,9,63684,59466,2,2,0,1,8,4,Skarner,Yone,Aurora,Corki,Renekton,Renata Glasc,Ashe,Kai'Sa,Leona,Jhin,Rooster,Kingen,Grizzly,Sylvie,Zeka (Kim Geon-woo),Fisher (Lee Jeong-tae),Viper (Park Do-hyeon),Jiwoo,Delight,Lehends
2024 LoL KeSPA Cup_Round 2_1_1,2024-12-04 12:07:00,14.23,28.3,OKSavingsBank BRION,Dplus KIA,1,K'Sante,Skarner,Aurora,Kalista,Renata Glasc,Gnar,Vi,LeBlanc,Corki,Rell,17,15,53855,52476,1,3,1,0,7,4,Sejuani,Renekton,Ambessa,Ashe,Poppy,Yone,Jax,Azir,Rakan,Taliyah,Morgan,Siwoo,HamBak,Lucid (Choi Yong-hyeok),Clozer,ShowMaker,Hype (Byeon Jeong-hyeon),Aiming,Pollu,BeryL
2024 LoL KeSPA Cup_Round 1_4_1,2024-12-04 10:54:00,14.23,37.333333333333,OKSavingsBank BRION,Gen.G,0,Ambessa,Skarner,Azir,Ezreal,Rell,Poppy,Kindred,Aurora,Varus,Braum,14,17,62331,72765,1,4,0,2,2,10,K'Sante,Corki,Nidalee,Renekton,Ashe,Vi,Graves,Jhin,Nautilus,Kalista,Morgan,Kiin,HamBak,Canyon,Clozer,Kemish,Hype (Byeon Jeong-hyeon),About,Pollu,Duro
2024 LoL KeSPA Cup_Round 1_3_1,2024-12-04 09:39:00,14.23,23.15,Chinese Taipei (National Team),Dplus KIA,0,K'Sante,Viego,Aurora,Ezreal,Maokai,Jax,Sejuani,Swain,Corki,Poppy,7,21,38048,49750,0,3,0,1,2,9,Vi,Ashe,Ambessa,Skarner,Varus,Kalista,Caitlyn,Xayah,LeBlanc,Braum,Azhi,Siwoo,Karsa,Lucid (Choi Yong-hyeok),Maple (Huang Yi-Tang),ShowMaker,Betty,Aiming,Woody,BeryL
2024 LoL KeSPA Cup_Round 1_2_1,2024-12-04 08:22:00,14.23,24.066666666667,Hanwha Life Esports,KT Rolster,0,Gragas,Vi,Aurora,Ashe,Poppy,Renekton,Viego,Neeko,Varus,Braum,6,17,37943,47654,1,2,0,0,2,7,Skarner,Yone,Azir,Corki,Ambessa,K'Sante,Rumble,Rakan,Sylas,Alistar,Rooster,Casting,Grizzly,YoungJae,Zeka (Kim Geon-woo),Zinie,Viper (Park Do-hyeon),Paduck,Delight,Peter (Jeong Yoon-su)
2024 LoL KeSPA Cup_Round 1_1_1,2024-12-04 07:08:00,14.23,36.783333333333,DRX,Nongshim RedForce,0,Jax,Xin Zhao,Azir,Ashe,Seraphine,Maokai,Nocturne,Yone,Ziggs,Leona,13,21,62638,74098,4,1,0,2,3,10,Ambessa,Renata Glasc,Corki,Aurora,Sejuani,Skarner,Blitzcrank,K'Sante,Nautilus,Bard,Frog (Lee Min-hoi),Kingen,Sponge,Sylvie,kyeahoo,Fisher (Lee Jeong-tae),LazyFeel,Jiwoo,Pleata,Lehends
2024 LoL KeSPA Cup_Group Stage Day 4_7_1,2024-12-03 12:37:00,14.23,33.6,Dplus KIA,T1,1,Gnar,Skarner,Syndra,Varus,Poppy,K'Sante,Zyra,Yone,Ezreal,Leona,26,15,72103,57062,3,0,2,0,11,2,Azir,Ashe,Kalista,Aurora,Ambessa,Corki,Jhin,LeBlanc,Nautilus,Akali,Siwoo,Haetae,Lucid (Choi Yong-hyeok),Vincenzo (Ha Seung-min),ShowMaker,Poby,Aiming,Smash (Sin Geum-jae),BeryL,Cloud (Moon Hyeon-ho)
2024 LoL KeSPA Cup_Group Stage Day 4_6_1,2024-12-03 11:21:00,14.23,29.8,Gen.G,Nongshim RedForce,1,K'Sante,Graves,Aurora,Ashe,Braum,Ambessa,Vi,Annie,Kai'Sa,Nautilus,26,11,64926,51596,4,1,1,0,11,1,Corki,Nidalee,Yone,Skarner,Sejuani,Renata Glasc,Orianna,Kindred,Ahri,Alistar,Kiin,Kingen,Canyon,Sylvie,Kemish,Fisher (Lee Jeong-tae),About,Jiwoo,Duro,Lehends
2024 LoL KeSPA Cup_Group Stage Day 4_5_1,2024-12-03 10:07:00,14.23,23.916666666667,Vietnam (National Team),Hanwha Life Esports,0,Udyr,Kindred,Galio,Ashe,Seraphine,Ambessa,Lee Sin,Sylas,Jhin,Rakan,5,18,37260,50871,0,3,0,1,0,9,Skarner,Viego,Yone,Renata Glasc,Aurora,Corki,Vi,Wukong,Sejuani,Xin Zhao,Pun,Rooster,Draktharr,Grizzly,Aress,Zeka (Kim Geon-woo),Puddin,Viper (Park Do-hyeon),Taki (Đinh Anh Tài),Delight
2024 LoL KeSPA Cup_Group Stage Day 4_4_1,2024-12-03 08:53:00,14.23,27.8,T1,Nongshim RedForce,0,Ambessa,Vi,Aurora,Jinx,Leona,Renekton,Maokai,Corki,Kai'Sa,Alistar,3,22,43660,57097,0,2,0,1,2,10,Yone,Azir,Rumble,Kalista,Zyra,Ashe,Ziggs,Varus,Xayah,Nautilus,Haetae,Kingen,Vincenzo (Ha Seung-min),Sylvie,Poby,Fisher (Lee Jeong-tae),Smash (Sin Geum-jae),Jiwoo,Cloud (Moon Hyeon-ho),Lehends
2024 LoL KeSPA Cup_Group Stage Day 4_3_1,2024-12-03 07:38:00,14.23,24.383333333333,Vietnam (National Team),Dplus KIA,0,Maokai,Wukong,Akali,Varus,Braum,K'Sante,Nocturne,Swain,Corki,Bard,7,22,37665,51534,1,2,0,1,0,9,Skarner,Renata Glasc,Ambessa,Ashe,Aurora,Viego,Zyra,Kindred,Vi,Xin Zhao,Pun,Siwoo,Draktharr,Lucid (Choi Yong-hyeok),Aress,ShowMaker,Puddin,Aiming,Taki (Đinh Anh Tài),BeryL
2024 LoL KeSPA Cup_Group Stage Day 4_2_1,2024-12-03 06:22:00,14.23,37.116666666667,Hanwha Life Esports,Gen.G,0,K'Sante,Sejuani,Yone,Kog'Maw,Leona,Maokai,Kindred,Ahri,Varus,Braum,15,19,61366,70534,2,3,0,1,2,9,Nidalee,Ashe,Skarner,Aurora,Ambessa,Corki,Poppy,Jhin,Nautilus,Ziggs,Rooster,Kiin,Grizzly,Canyon,Zeka (Kim Geon-woo),Kemish,Viper (Park Do-hyeon),About,Delight,Duro
2024 LoL KeSPA Cup_Group Stage Day 4_1_1,2024-12-03 05:06:00,14.23,45.916666666667,Nongshim RedForce,Vietnam (National Team),1,K'Sante,Sejuani,Yone,Ziggs,Nautilus,Udyr,Viego,Ahri,Ashe,Seraphine,17,16,80377,77082,3,4,1,2,10,3,Renata Glasc,Skarner,Corki,Aurora,Azir,Ambessa,Sion,Blitzcrank,Maokai,Jax,Kingen,Pun,Sylvie,Draktharr,Fisher (Lee Jeong-tae),Aress,Jiwoo,Puddin,Lehends,Taki (Đinh Anh Tài)
2024 LoL KeSPA Cup_Group Stage Day 3_7_1,2024-12-02 12:37:00,14.23,37.25,KT Rolster,Kwangdong Freecs,1,Ambessa,Maokai,Azir,Varus,Nautilus,Rumble,Sejuani,Corki,Ezreal,Braum,32,15,77893,67280,3,2,2,0,11,4,Skarner,Nocturne,Zyra,Renekton,Aurora,Ashe,Yone,Xin Zhao,Rakan,Viego,Casting,Lancer,YoungJae,DDoiV,Zinie,Pungyeon,Paduck,Slayer (Kim Jin-young),Peter (Jeong Yoon-su),Quantum (Son Jeong-hwan)
2024 LoL KeSPA Cup_Group Stage Day 3_6_1,2024-12-02 11:21:00,14.23,26.233333333333,OKSavingsBank BRION,DRX,0,Renekton,Sejuani,Azir,Ezreal,Leona,Ambessa,Vi,Taliyah,Miss Fortune,Rell,6,13,45229,53174,1,3,0,1,3,8,Varus,Aurora,Corki,Skarner,Ashe,Kalista,Rakan,Jhin,Nautilus,Caitlyn,Morgan,Frog (Lee Min-hoi),HamBak,Sponge,Clozer,kyeahoo,Bull,LazyFeel,Pollu,Pleata
2024 LoL KeSPA Cup_Group Stage Day 3_5_1,2024-12-02 10:07:00,14.23,34.05,Chinese Taipei (National Team),BNK FEARX,1,Gragas,Sejuani,Ambessa,Ashe,Renata Glasc,Jax,Xin Zhao,Sylas,Varus,Poppy,23,12,64628,55408,4,0,1,0,9,3,Azir,Aurora,Neeko,Corki,Vi,Skarner,Gnar,Rumble,Blitzcrank,Taliyah,Azhi,Soboro,Karsa,Bonnie,Maple (Huang Yi-Tang),Daystar,Betty,Diable,Woody,Kellin
2024 LoL KeSPA Cup_Group Stage Day 3_4_1,2024-12-02 08:51:00,14.23,35.166666666667,Kwangdong Freecs,DRX,1,K'Sante,Skarner,Sylas,Ezreal,Karma,Gnar,Sejuani,Hwei,Varus,Poppy,15,6,69428,57186,3,2,1,0,11,2,Aurora,Corki,Azir,Yone,Renekton,Ambessa,Renata Glasc,Ashe,Taliyah,Kalista,Lancer,Frog (Lee Min-hoi),DDoiV,Sponge,Pungyeon,kyeahoo,Slayer (Kim Jin-young),LazyFeel,Quantum (Son Jeong-hwan),Pleata
2024 LoL KeSPA Cup_Group Stage Day 3_3_1,2024-12-02 07:37:00,14.23,31.016666666667,Chinese Taipei (National Team),KT Rolster,1,Renekton,Skarner,Taliyah,Varus,Alistar,Ambessa,Kindred,Galio,Ashe,Leona,28,14,62176,51654,3,1,1,0,9,3,Neeko,Aurora,Azir,Corki,Yone,Poppy,Sejuani,Renata Glasc,Vi,Braum,Azhi,Casting,Karsa,YoungJae,Maple (Huang Yi-Tang),Zinie,Betty,Paduck,Woody,Peter (Jeong Yoon-su)
2024 LoL KeSPA Cup_Group Stage Day 3_2_1,2024-12-02 06:21:00,14.23,32.05,BNK FEARX,OKSavingsBank BRION,0,Renekton,Maokai,Azir,Corki,Rakan,Ambessa,Vi,Taliyah,Ashe,Nautilus,5,24,50952,64532,1,3,0,1,4,10,Yone,K'Sante,Sylas,Skarner,Poppy,Kalista,Jax,Sejuani,Rumble,Xin Zhao,Soboro,Morgan,Bonnie,HamBak,Daystar,Clozer,Envyy,Bull,Career,Pollu
2024 LoL KeSPA Cup_Group Stage Day 3_1_1,2024-12-02 05:07:00,14.23,40.7,DRX,Chinese Taipei (National Team),1,Jax,Nocturne,Aurora,Varus,Neeko,Rumble,Viego,Corki,Ashe,Braum,16,8,75399,68781,5,1,0,1,10,3,Sejuani,Skarner,Renekton,Vi,Ambessa,Azir,Maokai,K'Sante,Xin Zhao,Rakan,Frog (Lee Min-hoi),Azhi,Sponge,Karsa,kyeahoo,Maple (Huang Yi-Tang),LazyFeel,Betty,Pleata,Woody
2024 LoL KeSPA Cup_Group Stage Day 2_8_1,2024-12-01 12:52:00,14.23,31.5,Gen.G,T1,1,Rumble,Skarner,Ahri,Jinx,Leona,Ambessa,Viego,Sylas,Varus,Rell,20,7,66135,51177,2,2,1,0,10,1,LeBlanc,Aurora,Azir,Ashe,Kalista,Corki,Orianna,Jhin,Nautilus,Ezreal,Kiin,Haetae,Canyon,Vincenzo (Ha Seung-min),Kemish,Poby,About,Smash (Sin Geum-jae),Duro,Cloud (Moon Hyeon-ho)
2024 LoL KeSPA Cup_Group Stage Day 2_7_1,2024-12-01 11:34:00,14.23,37.433333333333,Hanwha Life Esports,Dplus KIA,0,K'Sante,Viego,Azir,Kalista,Neeko,Ambessa,Skarner,Taliyah,Corki,Poppy,11,19,66039,70497,0,5,2,0,4,9,Vi,Yone,LeBlanc,Ashe,Aurora,Rumble,Varus,Renata Glasc,Ezreal,Sejuani,Rooster,Siwoo,Grizzly,Lucid (Choi Yong-hyeok),Zeka (Kim Geon-woo),ShowMaker,Viper (Park Do-hyeon),Aiming,Delight,BeryL
2024 LoL KeSPA Cup_Group Stage Day 2_6_1,2024-12-01 10:20:00,14.23,34.483333333333,Vietnam (National Team),Gen.G,0,Jax,Viego,Hwei,Kalista,Renata Glasc,Ambessa,Graves,Galio,Varus,Nautilus,12,20,57974,68843,2,2,0,1,3,10,K'Sante,Aurora,Nidalee,Ashe,Skarner,Corki,Orianna,Renekton,Zyra,Azir,Pun,Kiin,Draktharr,Canyon,Aress,Chovy,Puddin,About,Taki (Đinh Anh Tài),Duro
2024 LoL KeSPA Cup_Group Stage Day 2_5_1,2024-12-01 09:07:00,14.23,32.583333333333,Dplus KIA,Nongshim RedForce,1,Jax,Sejuani,Yone,Ezreal,Maokai,Rumble,Poppy,Ambessa,Kalista,Blitzcrank,28,16,68171,54585,1,3,1,0,9,1,Azir,Ashe,Aurora,Corki,Nocturne,Skarner,Lillia,Ziggs,Renata Glasc,Kai'Sa,Siwoo,Kingen,Lucid (Choi Yong-hyeok),Sylvie,ShowMaker,Fisher (Lee Jeong-tae),Aiming,Jiwoo,BeryL,Lehends
2024 LoL KeSPA Cup_Group Stage Day 2_4_1,2024-12-01 07:53:00,14.23,44.933333333333,Hanwha Life Esports,T1,1,Rumble,Vi,Corki,Varus,Poppy,K'Sante,Sejuani,Azir,Kalista,Neeko,23,10,87934,76582,4,3,2,1,9,4,Skarner,Aurora,Ambessa,Ashe,Jax,Yone,Viego,Zyra,Nocturne,Maokai,Rooster,Haetae,Grizzly,Vincenzo (Ha Seung-min),Zeka (Kim Geon-woo),Poby,Viper (Park Do-hyeon),Smash (Sin Geum-jae),Delight,Cloud (Moon Hyeon-ho)
2024 LoL KeSPA Cup_Group Stage Day 2_3_1,2024-12-01 06:48:00,14.23,29.25,Gen.G,Dplus KIA,1,K'Sante,Nidalee,Aurora,Varus,Nautilus,Ambessa,Lee Sin,Sylas,Kalista,Renata Glasc,10,6,53712,47867,1,3,1,0,7,1,Vi,Yone,LeBlanc,Skarner,Smolder,Ashe,Orianna,Graves,Viego,Poppy,Kiin,Siwoo,Canyon,Lucid (Choi Yong-hyeok),Kemish,ShowMaker,About,Aiming,Duro,BeryL
2024 LoL KeSPA Cup_Group Stage Day 2_2_1,2024-12-01 05:22:00,14.23,33.383333333333,T1,Vietnam (National Team),0,Ambessa,Nidalee,Azir,Ashe,Nautilus,Sion,Lillia,Corki,Varus,Renata Glasc,19,26,66510,67737,3,1,1,1,9,7,K'Sante,Aurora,Vi,Skarner,Neeko,Kalista,Renekton,Sejuani,Jax,Xin Zhao,Haetae,Pun,Oner,Draktharr,Poby,Aress,Gumayusi,Puddin,Cloud (Moon Hyeon-ho),Taki (Đinh Anh Tài)
2024 LoL KeSPA Cup_Group Stage Day 2_1_1,2024-12-01 04:07:00,14.23,31.166666666667,Nongshim RedForce,Hanwha Life Esports,0,Renekton,Nocturne,Aurora,Kai'Sa,Nautilus,Rumble,Viego,Corki,Ezreal,Alistar,9,23,55624,63700,0,5,2,0,3,9,Sylas,Vi,Yone,Skarner,Ashe,Kalista,Leona,Rakan,Maokai,Ambessa,Kingen,Rooster,Sylvie,Grizzly,Fisher (Lee Jeong-tae),Zeka (Kim Geon-woo),Jiwoo,Viper (Park Do-hyeon),Lehends,Delight
2024 LoL KeSPA Cup_Group Stage Day 1_8_1,2024-11-30 12:51:00,14.23,28.616666666667,OKSavingsBank BRION,Kwangdong Freecs,1,Ambessa,Skarner,Ahri,Kalista,Pyke,K'Sante,Xin Zhao,Taliyah,Ashe,Renata Glasc,36,14,63792,50020,3,1,1,0,10,2,Azir,Zyra,Corki,Aurora,Renekton,Poppy,Vi,Neeko,Sylas,Blitzcrank,Morgan,Lancer,HamBak,DDoiV,Clozer,Pungyeon,Hype (Byeon Jeong-hyeon),Slayer (Kim Jin-young),Pollu,Quantum (Son Jeong-hwan)
2024 LoL KeSPA Cup_Group Stage Day 1_7_1,2024-11-30 11:38:00,14.23,27.283333333333,BNK FEARX,KT Rolster,1,K'Sante,Skarner,Orianna,Kalista,Blitzcrank,Poppy,Xin Zhao,Taliyah,Draven,Renata Glasc,20,7,54802,42320,3,1,1,0,9,2,Ashe,Zyra,Azir,Corki,Aurora,Varus,Yone,Neeko,Sylas,Pyke,Soboro,Casting,Bonnie,YoungJae,Daystar,Zinie,Envyy,Paduck,Career,Peter (Jeong Yoon-su)
2024 LoL KeSPA Cup_Group Stage Day 1_6_1,2024-11-30 10:23:00,14.23,24.533333333333,Chinese Taipei (National Team),OKSavingsBank BRION,0,Gnar,Poppy,Aurora,Miss Fortune,Nautilus,Maokai,Vi,Azir,Ashe,Rakan,3,22,38354,49796,0,3,0,1,1,6,Zyra,Skarner,Yone,Corki,Renekton,Ambessa,Renata Glasc,Rell,Braum,Nocturne,Azhi,Morgan,Karsa,HamBak,Maple (Huang Yi-Tang),Clozer,Betty,Hype (Byeon Jeong-hyeon),Woody,Pollu
2024 LoL KeSPA Cup_Group Stage Day 1_5_1,2024-11-30 09:06:00,14.23,34.533333333333,KT Rolster,DRX,1,Ambessa,Nocturne,Aurora,Kai'Sa,Rakan,Rumble,Sejuani,Corki,Ezreal,Maokai,20,16,66737,61904,3,1,0,1,8,6,Kalista,Ashe,Varus,Vi,Zyra,Skarner,Azir,Caitlyn,Poppy,Jhin,Casting,Frog (Lee Min-hoi),YoungJae,Sponge,Zinie,kyeahoo,Paduck,LazyFeel,Peter (Jeong Yoon-su),Pleata
2024 LoL KeSPA Cup_Group Stage Day 1_4_1,2024-11-30 07:51:00,14.23,32.916666666667,BNK FEARX,Kwangdong Freecs,1,Ambessa,Sejuani,Azir,Varus,Nautilus,K'Sante,Vi,Yone,Ziggs,Rell,30,11,69325,55720,4,1,2,0,11,3,Ashe,Zyra,Aurora,Kalista,Skarner,Corki,Leona,Gnar,Poppy,Jax,Soboro,Lancer,Bonnie,DDoiV,Daystar,Pungyeon,Envyy,Slayer (Kim Jin-young),Career,Quantum (Son Jeong-hwan)
2024 LoL KeSPA Cup_Group Stage Day 1_3_1,2024-11-30 06:38:00,14.23,27.866666666667,OKSavingsBank BRION,KT Rolster,0,Renekton,Skarner,Sylas,Kalista,Renata Glasc,Ornn,Xin Zhao,Azir,Ashe,Neeko,10,18,47396,55588,2,2,0,1,2,9,Yone,Aurora,Viego,Zyra,K'Sante,Corki,Seraphine,Jax,Poppy,Taliyah,Morgan,Casting,HamBak,YoungJae,Clozer,Zinie,Hype (Byeon Jeong-hyeon),Paduck,Pollu,Peter (Jeong Yoon-su)
2024 LoL KeSPA Cup_Group Stage Day 1_2_1,2024-11-30 05:25:00,14.23,26.683333333333,Kwangdong Freecs,Chinese Taipei (National Team),0,Renekton,Lillia,Yone,Ashe,Renata Glasc,Gragas,Sejuani,Ambessa,Miss Fortune,Rell,9,25,44433,56168,0,4,0,1,1,8,K'Sante,Corki,Poppy,Skarner,Aurora,Gnar,Azir,Xin Zhao,Blitzcrank,Rumble,Lancer,Azhi,DDoiV,Karsa,Pungyeon,Maple (Huang Yi-Tang),Slayer (Kim Jin-young),Betty,Quantum (Son Jeong-hwan),Woody
2024 LoL KeSPA Cup_Group Stage Day 1_1_1,2024-11-30 04:08:00,14.23,27.416666666667,DRX,BNK FEARX,1,Gnar,Nocturne,Aurora,Ashe,Seraphine,K'Sante,Viego,Sylas,Varus,Renata Glasc,20,5,54957,40787,1,3,1,0,8,0,Kalista,Corki,Sejuani,Yone,Skarner,Vi,Swain,Jax,Xin Zhao,Neeko,Frog (Lee Min-hoi),Soboro,Sponge,Bonnie,kyeahoo,Daystar,LazyFeel,Envyy,Pleata,Career
